run_id,scraped_at,page_number,book_url,title,category,upc,rating,price_gbp,exchange_rate_gbp_rub,price_rub,availability,is_in_stock
20260330T081729Z,2026-03-30 08:17:29+00:00,31,https://books.toscrape.com/catalogue/logan-kade-fallen-crest-high-55_384/index.html,Logan Kade (Fallen Crest High #5.5),Academic,7093cf549cd2e7de,2,13.12,108.011592,1417.11,In stock (5 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,45,https://books.toscrape.com/catalogue/girlboss_113/index.html,#GIRLBOSS,Add a comment,165affa7adb5eded,1,50.96,108.011592,5504.27,In stock (3 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,23,https://books.toscrape.com/catalogue/23-degrees-south-a-tropical-tale-of-changing-whether_556/index.html,23 Degrees South: A Tropical Tale of Changing Whether...,Add a comment,61cf7eb9d2cd8bb0,2,35.79,108.011592,3865.73,In stock (9 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,18,https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html,A Brush of Wings (Angels Walking #3),Add a comment,01a177623cce9596,1,55.51,108.011592,5995.72,In stock (14 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,33,https://books.toscrape.com/catalogue/a-clash-of-kings-a-song-of-ice-and-fire-2_356/index.html,A Clash of Kings (A Song of Ice and Fire #2),Add a comment,89a89e76f3516357,3,10.79,108.011592,1165.45,In stock (5 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,33,https://books.toscrape.com/catalogue/a-game-of-thrones-a-song-of-ice-and-fire-1_358/index.html,A Game of Thrones (A Song of Ice and Fire #1),Add a comment,03cbb67c0f990d87,2,46.42,108.011592,5013.9,In stock (5 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,23,https://books.toscrape.com/catalogue/a-heros-curse-the-unseen-chronicles-1_557/index.html,A Hero's Curse (The Unseen Chronicles #1),Add a comment,c181ca8eabe7d18c,3,50.49,108.011592,5453.51,In stock (9 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,18,https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html,A People's History of the United States,Add a comment,1ad06aed9349af46,2,40.79,108.011592,4405.79,In stock (14 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,18,https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Add a comment,c1379d3744f1dd2c,2,56.48,108.011592,6100.49,In stock (14 available),True
20260330T081729Z,2026-03-30 08:17:29+00:00,17,https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html,Angels Walking (Angels Walking #1),Add a comment,1fbb5f786e53a0ce,2,34.2,108.011592,3694.0,In stock (14 available),True
